conv,country,drop_kicks,opposition,penalties,player,points,position,result,tries
0,Germ,0,Romania,0,M Poppmeier,0,F,lost,0
0,Germ,0,Romania,0,J Schmidt,0,L,lost,0
0,Germ,0,Romania,0,B Sieber,0,L,lost,0
0,Germ,0,Romania,0,B Simm,0,C,lost,0
0,Germ,0,Romania,0,E Takaendesa,0,FB,lost,0
0,Rom,0,Germany,0,F Tasca,0,H,won,0
0,Germ,0,Romania,0,D Tussac,0,(P),lost,0
0,Rom,0,Germany,0,FA Vlaicu,0,FB,won,0
0,Germ,0,Romania,0,C von Grumbkow,0,W,lost,0
0,Germ,0,Romania,0,A Widiker,0,P,lost,0
0,Germ,0,Romania,0,T Wiedemann,0,(FB),lost,0
0,Germ,0,Romania,0,M Wilhelm,0,(L),lost,0
0,Fra,0,Scotland,0,B Baby,0,C,won,0
0,Fra,0,Scotland,0,F Barcella,0,P,won,0
0,Scot,0,France,0,JA Barclay,0,F,lost,0
0,Scot,0,France,0,MRL Blair,0,SH,lost,0
0,Fra,0,Scotland,0,R Boyoud,0,(P),won,0
0,Scot,0,France,0,KDR Brown,0,(L),lost,0
0,Fra,0,Scotland,0,S Chabal,0,(L),won,0
0,Scot,0,France,0,CP Cusiter,0,(SH),lost,0
0,Scot,0,France,0,SCJ Danielli,0,W,lost,0
0,Scot,0,France,0,NJ de Luca,0,(C),lost,0
0,Scot,0,France,0,AG Dickinson,0,P,lost,0
0,Fra,0,Scotland,0,TS Dusautoir,0,F,won,0
0,Scot,0,France,0,MB Evans,0,C,lost,0
0,Scot,0,France,0,RW Ford,0,H,lost,0
0,Scot,0,France,0,DWH Hall,0,(H),lost,0
0,Scot,0,France,0,JL Hamilton,0,L,lost,0
0,Fra,0,Scotland,0,I Harinordoquy,0,N8,won,0
0,Fra,0,Scotland,0,C Heymans,0,W,won,0
0,Scot,0,France,0,AF Jacobsen,0,P,lost,0
0,Fra,0,Scotland,0,Y Jauzion,0,C,won,0
0,Fra,0,Scotland,0,B Kayser,0,(H),won,0
0,Scot,0,France,0,MJ Low,0,(P),lost,0
0,Fra,0,Scotland,0,J Malzieu,0,(W),won,0
0,Fra,0,Scotland,0,NGA Mas,0,P,won,0
0,Fra,0,Scotland,0,M Medard,0,W,won,0
0,Fra,0,Scotland,0,M Mermoz,0,(C),won,0
0,Fra,0,Scotland,0,R Millo-Chluski,0,L,won,0
0,Scot,0,France,0,GA Morrison,0,C,lost,0
0,Fra,0,Scotland,0,L Nallet,0,L,won,0
0,Fra,0,Scotland,0,MRJ Parra,0,(SH),won,0
0,Fra,0,Scotland,0,LGP Picamoles,0,(N8),won,0
0,Fra,0,Scotland,0,C Poitrenaud,0,FB,won,0
0,Scot,0,France,0,HFG Southwell,0,FB,lost,0
0,Scot,0,France,0,AK Strokosch,0,F,lost,0
0,Fra,0,Scotland,0,D Szarzewski,0,H,won,0
0,Scot,0,France,0,SM Taylor,0,N8,lost,0
0,Fra,0,Scotland,0,S Tillous-Borde,0,SH,won,0
0,Scot,0,France,0,JPR White,0,L,lost,0
0,Wales,0,England,0,H Bennett,0,(H),won,0
0,Eng,0,Wales,0,SW Borthwick,0,L,lost,0
0,Wales,0,England,0,LM Byrne,0,FB,won,0
0,Eng,0,Wales,0,TR Croft,0,(L),lost,0
0,Eng,0,Wales,0,MJ Cueto,0,W,lost,0
0,Eng,0,Wales,0,NJ Easter,0,N8,lost,0
0,Eng,0,Wales,0,HA Ellis,0,SH,lost,0
0,Eng,0,Wales,0,RJ Flutey,0,C,lost,0
0,Wales,0,England,0,IM Gough,0,L,won,0
0,Eng,0,Wales,0,DM Hartley,0,(H),lost,0
0,Eng,0,Wales,0,JAW Haskell,0,F,lost,0
0,Wales,0,England,0,GD Jenkins,0,P,won,0
0,Wales,0,England,0,AR Jones,0,P,won,0
0,Wales,0,England,0,AW Jones,0,L,won,0
0,Wales,0,England,0,DAR Jones,0,(N8),won,0
0,Wales,0,England,0,MA Jones,0,W,won,0
0,Wales,0,England,0,RP Jones,0,F,won,0
0,Eng,0,Wales,0,NJ Kennedy,0,L,lost,0
0,Eng,0,Wales,0,LA Mears,0,H,lost,0
0,Eng,0,Wales,0,LJW Narraway,0,(F),lost,0
0,Wales,0,England,0,DJ Peel,0,(SH),won,0
0,Wales,0,England,0,WM Phillips,0,SH,won,0
0,Wales,0,England,0,AT Powell,0,N8,won,0
0,Wales,0,England,0,M Rees,0,H,won,0
0,Wales,0,England,0,JH Roberts,0,C,won,0
0,Wales,0,England,0,TGL Shanklin,0,C,won,0
0,Eng,0,Wales,0,AJ Sheridan,0,P,lost,0
0,Eng,0,Wales,0,MJM Tait,0,(W),lost,0
0,Eng,0,Wales,0,MJ Tindall,0,C,lost,0
0,Eng,0,Wales,0,PJ Vickery,0,P,lost,0
0,Eng,0,Wales,0,JM White,0,(P),lost,0
0,Wales,0,England,0,ME Williams,0,F,won,0
0,Eng,0,Wales,0,JPR Worsley,0,F,lost,0
0,Italy,0,Ireland,0,A Bacchetti,0,(W),lost,0
0,Italy,0,Ireland,0,M Bergamasco,0,C,lost,0
0,Italy,0,Ireland,0,M Bergamasco,0,F,lost,0
0,Ire,0,Italy,0,RD Best,0,(H),won,0
0,Italy,0,Ireland,0,GJ Canale,0,C,lost,0
0,Italy,0,Ireland,0,ML Castrogiovanni,0,P,lost,0
0,Ire,0,Italy,0,TG Court,0,(P),won,0
0,Ire,0,Italy,0,GW D'Arcy,0,(C),won,0
0,Italy,0,Ireland,0,CA del Fava,0,(L),lost,0
0,Italy,0,Ireland,0,S Dellape,0,L,lost,0
0,Ire,0,Italy,0,S Ferris,0,F,won,0
0,Italy,0,Ireland,0,C Festuccia,0,(H),lost,0
0,Ire,0,Italy,0,JP Flannery,0,H,won,0
0,Italy,0,Ireland,0,GM Garcia,0,(C),lost,0
0,Italy,0,Ireland,0,PR Griffen,0,SH,lost,0
0,Ire,0,Italy,0,JJ Hayes,0,P,won,0
0,Ire,0,Italy,0,JPR Heaslip,0,N8,won,0
0,Ire,0,Italy,0,MJ Horan,0,P,won,0
0,Ire,0,Italy,0,DP Leamy,0,(F),won,0
0,Italy,0,Ireland,0,A Masi,0,FB,lost,0
0,Ire,0,Italy,0,GEA Murphy,0,(FB),won,0
0,Italy,0,Ireland,0,CH Nieto,0,(P),lost,0
0,Ire,0,Italy,0,DF O'Callaghan,0,L,won,0
0,Ire,0,Italy,0,PJ O'Connell,0,L,won,0
0,Ire,0,Italy,0,ME O'Kelly,0,(L),won,0
0,Ire,0,Italy,0,TG O'Leary,0,SH,won,0
0,Italy,0,Ireland,0,F Ongaro,0,H,lost,0
0,Italy,0,Ireland,0,SM Parisse,0,N8,lost,0
0,Italy,0,Ireland,0,S Perugini,0,P,lost,0
0,Italy,0,Ireland,0,M Pratichetti,0,W,lost,0
0,Italy,0,Ireland,0,T Reato,0,L,lost,0
0,Italy,0,Ireland,0,KP Robertson,0,W,lost,0
0,Italy,0,Ireland,0,JW Sole,0,(L),lost,0
0,Ire,0,Italy,0,PA Stringer,0,(C),won,0
0,Italy,0,Ireland,0,G Toniolatti,0,(FH),lost,0
0,Ire,0,Italy,0,PR Wallace,0,C,won,0
0,Italy,0,Ireland,0,A Zanni,0,F,lost,0
0,Port,0,Germany,0,AM Aguilar,0,(W),won,0
0,Germ,0,Portugal,0,K Brenner,0,(BR),lost,0
0,Germ,0,Portugal,0,BJ Brierley,0,W,lost,0
0,Germ,0,Portugal,0,T Coly,0,H,lost,0
0,Port,0,Germany,0,JCGO Correia,0,H,won,0
0,Germ,0,Portugal,0,B Danso,0,(L),lost,0
0,Port,0,Germany,0,B Duarte,0,(H),won,0
0,Germ,0,Portugal,0,L Eckert,0,C,lost,0
0,Germ,0,Portugal,0,P Faber,0,P,lost,0
0,Port,0,Germany,0,D Gama,0,(W),won,0
0,Port,0,Germany,0,TMMV Girao,0,N8,won,0
0,Germ,0,Portugal,0,C Grzanna,0,C,lost,0
0,Germ,0,Portugal,0,M Gungor,0,SH,lost,0
0,Germ,0,Portugal,0,A Hug,0,F,lost,0
0,Germ,0,Portugal,0,T Kasten,0,F,lost,0
0,Germ,0,Portugal,0,B Krause,0,(P),lost,0
0,Germ,0,Portugal,0,C Liebig,0,(W),lost,0
0,Port,0,Germany,0,D Mateus,0,W,won,0
0,Port,0,Germany,0,SCSP Palha,0,F,won,0
0,Port,0,Germany,0,DC Pinto,0,(FH),won,0
0,Port,0,Germany,0,JMD Pinto Neves,0,SH,won,0
0,Port,0,Germany,0,DD Reis,0,L,won,0
0,Germ,0,Portugal,0,J Schmidt,0,L,lost,0
0,Port,0,Germany,0,JRPB Segurado,0,P,won,0
0,Port,0,Germany,0,J Severino Somoza,0,(L),won,0
0,Germ,0,Portugal,0,B Sieber,0,L,lost,0
0,Port,0,Germany,0,RC Spachuk,0,P,won,0
0,Germ,0,Portugal,0,E Takaendesa,0,FB,lost,0
0,Port,0,Germany,0,GNBS Uva,0,L,won,0
0,Port,0,Germany,0,JS Uva,0,(BR),won,0
0,Germ,0,Portugal,0,C von Grumbkow,0,W,lost,0
0,Germ,0,Portugal,0,R Wacha,0,(BR),lost,0
0,Germ,0,Portugal,0,A Widiker,0,P,lost,0
0,Germ,0,Portugal,0,T Wiedemann,0,(FB),lost,0
0,Germ,0,Portugal,0,M Wilhelm,0,N8,lost,0
0,Fra,0,Wales,0,B Baby,0,FH,won,0
0,Fra,0,Wales,0,F Barcella,0,P,won,0
0,Fra,0,Wales,0,M Bastareaud,0,C,won,0
0,Wales,0,France,0,H Bennett,0,(H),lost,0
0,Fra,0,Wales,0,S Chabal,0,L,won,0
0,Wales,0,France,0,LC Charteris,0,(L),lost,0
0,Fra,0,Wales,0,T Domingo,0,(P),won,0
0,Wales,0,France,0,IM Gough,0,L,lost,0
0,Wales,0,France,0,SL Halfpenny,0,W,lost,0
0,Fra,0,Wales,0,I Harinordoquy,0,N8,won,0
0,Wales,0,France,0,GL Henson,0,(C),lost,0
0,Fra,0,Wales,0,Y Jauzion,0,C,won,0
0,Wales,0,France,0,GD Jenkins,0,P,lost,0
0,Wales,0,France,0,AR Jones,0,P,lost,0
0,Wales,0,France,0,AW Jones,0,L,lost,0
0,Wales,0,France,0,DAR Jones,0,(N8),lost,0
0,Wales,0,France,0,RP Jones,0,F,lost,0
0,Fra,0,Wales,0,B Kayser,0,(H),won,0
0,Fra,0,Wales,0,J Malzieu,0,W,won,0
0,Fra,0,Wales,0,S Marconnet,0,P,won,0
0,Fra,0,Wales,0,M Medard,0,FB,won,0
0,Fra,0,Wales,0,R Millo-Chluski,0,(L),won,0
0,Fra,0,Wales,0,L Nallet,0,L,won,0
0,Fra,0,Wales,0,F Ouedraogo,0,F,won,0
0,Wales,0,France,0,DJ Peel,0,(SH),lost,0
0,Wales,0,France,0,WM Phillips,0,SH,lost,0
0,Wales,0,France,0,AT Powell,0,N8,lost,0
0,Wales,0,France,0,M Rees,0,H,lost,0
0,Wales,0,France,0,JH Roberts,0,C,lost,0
0,Wales,0,France,0,TGL Shanklin,0,C,lost,0
0,Fra,0,Wales,0,D Szarzewski,0,H,won,0
0,Fra,0,Wales,0,S Tillous-Borde,0,(SH),won,0
0,Fra,0,Wales,0,F Trinh-Duc,0,(FH),won,0
0,Wales,0,France,0,ME Williams,0,F,lost,0
0,Wales,0,France,0,SM Williams,0,W,lost,0
0,Russ,0,Romania,0,V Artemyev,0,(W),won,0
0,Russ,0,Romania,0,M Babaev,0,C,won,0
0,Rom,0,Russia,0,A Barbuliceanu,0,C,lost,0
0,Rom,0,Russia,0,DC Beca,0,(H),lost,0
0,Rom,0,Russia,0,CI Botezatu,0,(C),lost,0
0,Rom,0,Russia,0,SS Burcea,0,F,lost,0
0,Rom,0,Russia,0,SE Ciuntu,0,(W),lost,0
0,Rom,0,Russia,0,F Corodeanu,0,F,lost,0
0,Rom,0,Russia,0,AM Coste,0,L,lost,0
0,Russ,0,Romania,0,A Fatakhov,0,(L),won,0
0,Rom,0,Russia,0,C Fercu,0,W,lost,0
0,Russ,0,Romania,0,D Gerasimov,0,(C),won,0
0,Russ,0,Romania,0,V Gresev,0,F,won,0
0,Rom,0,Russia,0,P Ion,0,P,lost,0
0,Russ,0,Romania,0,A Khrokhin,0,P,won,0
0,Russ,0,Romania,0,V Korshunov,0,H,won,0
0,Russ,0,Romania,0,K Kulemin,0,L,won,0
0,Rom,0,Russia,0,MV Lemnaru,0,W,lost,0
0,Rom,0,Russia,0,M Macovei,0,(F),lost,0
0,Russ,0,Romania,0,V Marchenko,0,(H),won,0
0,Russ,0,Romania,0,E Matveev,0,F,won,0
0,Rom,0,Russia,0,N Nere,0,P,lost,0
0,Russ,0,Romania,0,AA Ostrikov,0,L,won,0
0,Russ,0,Romania,0,A Panasenko,0,N8,won,0
0,Rom,0,Russia,0,V Poparlan,0,L,lost,0
0,Russ,0,Romania,0,I Prishchepenko,0,P,won,0
0,Russ,0,Romania,0,A Shakirov,0,SH,won,0
0,Rom,0,Russia,0,F Tasca,0,H,lost,0
0,Russ,0,Romania,0,A Travkin,0,(P),won,0
0,Russ,0,Romania,0,S Trishin,0,C,won,0
0,Russ,0,Romania,0,A Voytov,0,(L),won,0
0,Russ,0,Romania,0,A Yanyushkin,0,(SH),won,0
0,Spain,0,Georgia,0,JR Alvarez Prieto,0,(W),lost,0
0,Italy,0,Scotland,0,A Bacchetti,0,(C),lost,0
0,Scot,0,Italy,0,JA Barclay,0,F,won,0
0,Georg,0,Spain,0,O Barkalaia,0,FB,won,0
0,Georg,0,Spain,0,D Basilaia,0,(N8),won,0
0,Italy,0,Scotland,0,M Bergamasco,0,W,lost,0
0,Italy,0,Scotland,0,M Bergamasco,0,F,lost,0
0,Spain,0,Georgia,0,C Bernasconi Rivera,0,N8,lost,0
0,Scot,0,Italy,0,MRL Blair,0,SH,won,0
0,Spain,0,Georgia,0,JM Bohorquez Gomez Millan,0,P,lost,0
0,Italy,0,Scotland,0,M Bortolami,0,L,lost,0
0,Scot,0,Italy,0,KDR Brown,0,(P),won,0
0,Italy,0,Scotland,0,GJ Canale,0,C,lost,0
0,Italy,0,Scotland,0,PL Canavosio,0,(SH),lost,0
0,Spain,0,Georgia,0,J Canosa Schack,0,C,lost,0
0,Spain,0,Georgia,0,J Cano Rodriguez-Arias,0,W,lost,0
0,Italy,0,Scotland,0,ML Castrogiovanni,0,P,lost,0
0,Georg,0,Spain,0,G Chkhaidze,0,F,won,0
0,Scot,0,Italy,0,CP Cusiter,0,(SH),won,0
0,Georg,0,Spain,0,L Datunashvili,0,L,won,0
0,Italy,0,Scotland,0,CA del Fava,0,(L),lost,0
0,Italy,0,Scotland,0,S Dellape,0,L,lost,0
0,Scot,0,Italy,0,NJ de Luca,0,(C),won,0
0,Scot,0,Italy,0,AG Dickinson,0,(P),won,0
0,Scot,0,Italy,0,MB Evans,0,C,won,0
0,Scot,0,Italy,0,TH Evans,0,W,won,0
0,Spain,0,Georgia,0,P Feijoo Ugalde,0,SH,lost,0
0,Spain,0,Georgia,0,L Fernandez-Aramburu Rdgez,0,L,lost,0
0,Scot,0,Italy,0,RW Ford,0,H,won,0
0,Italy,0,Scotland,0,GM Garcia,0,C,lost,0
0,Italy,0,Scotland,0,LL Ghiraldini,0,H,lost,0
0,Georg,0,Spain,0,A Giorgadze,0,H,won,0
0,Georg,0,Spain,0,I Giorgadze,0,C,won,0
0,Spain,0,Georgia,0,J Gonzalez Goicoechea,0,F,lost,0
0,Italy,0,Scotland,0,PR Griffen,0,SH,lost,0
0,Spain,0,Georgia,0,S Guerrero Esteban,0,(F),lost,0
0,Scot,0,Italy,0,DWH Hall,0,(H),won,0
0,Spain,0,Georgia,0,S Hattori,0,(P),lost,0
0,Spain,0,Georgia,0,D Hernandez Abad,0,F,lost,0
0,Spain,0,Georgia,0,I Insausti Jimenez,0,P,lost,0
0,Scot,0,Italy,0,AF Jacobsen,0,P,won,0
0,Scot,0,Italy,0,AD Kellock,0,L,won,0
0,Georg,0,Spain,0,D Khinchagashvili,0,P,won,0
0,Georg,0,Spain,0,D Kubriashvili,0,(P),won,0
0,Georg,0,Spain,0,G Labadze,0,F,won,0
0,Spain,0,Georgia,0,M Lopez Herrero,0,(SH),lost,0
0,Georg,0,Spain,0,I Machkhaneli,0,W,won,0
0,Italy,0,Scotland,0,A Marcato,0,FB,lost,0
0,Scot,0,Italy,0,GA Morrison,0,C,won,0
0,Spain,0,Georgia,0,D Mota Sierra,0,W,lost,0
0,Scot,0,Italy,0,EA Murray,0,P,won,0
0,Spain,0,Georgia,0,JM Nava de Olano,0,C,lost,0
0,Italy,0,Scotland,0,CH Nieto,0,(P),lost,0
0,Italy,0,Scotland,0,S Perugini,0,P,lost,0
0,Spain,0,Georgia,0,M Pinto Ferrer,0,(H),lost,0
0,Italy,0,Scotland,0,M Pratichetti,0,W,lost,0
0,Spain,0,Georgia,0,R Roques,0,(L),lost,0
0,Italy,0,Scotland,0,G Rubini,0,(FB),lost,0
0,Spain,0,Georgia,0,J Salazar Lizarraga,0,H,lost,0
0,Georg,0,Spain,0,B Samkharadze,0,(SH),won,0
0,Italy,0,Scotland,0,HF Sbaraglini,0,(H),lost,0
0,Spain,0,Georgia,0,C Sempere Padilla,0,FB,lost,0
0,Georg,0,Spain,0,G Shvelidze,0,P,won,0
0,Italy,0,Scotland,0,JW Sole,0,(L),lost,0
0,Scot,0,Italy,0,HFG Southwell,0,FB,won,0
0,Spain,0,Georgia,0,S Souto Vidal,0,L,lost,0
0,Scot,0,Italy,0,AK Strokosch,0,F,won,0
0,Scot,0,Italy,0,SM Taylor,0,N8,won,0
0,Georg,0,Spain,0,A Todua,0,(W),won,0
0,Georg,0,Spain,0,R Urushadze,0,(F),won,0
0,Scot,0,Italy,0,JPR White,0,L,won,0
0,Italy,0,Scotland,0,A Zanni,0,F,lost,0
0,Spain,0,Georgia,0,D Zarzosa Pena,0,(H),lost,0
0,Georg,0,Spain,0,I Zedginidze,0,L,won,0
0,Georg,0,Spain,0,T Zibzibadze,0,(C),won,0
0,Ire,0,England,0,RD Best,0,(H),won,0
0,Eng,0,Ireland,0,SW Borthwick,0,L,lost,0
0,Ire,0,England,0,TJ Bowe,0,W,won,0
0,Eng,0,Ireland,0,DS Care,0,(SH),lost,0
0,Eng,0,Ireland,0,TR Croft,0,(L),lost,0
0,Eng,0,Ireland,0,MJ Cueto,0,W,lost,0
0,Eng,0,Ireland,0,NJ Easter,0,N8,lost,0
0,Eng,0,Ireland,0,HA Ellis,0,SH,lost,0
0,Ire,0,England,0,S Ferris,0,F,won,0
0,Ire,0,England,0,LM Fitzgerald,0,W,won,0
0,Ire,0,England,0,JP Flannery,0,H,won,0
0,Eng,0,Ireland,0,RJ Flutey,0,C,lost,0
0,Eng,0,Ireland,0,DM Hartley,0,(H),lost,0
0,Eng,0,Ireland,0,JAW Haskell,0,F,lost,0
0,Ire,0,England,0,JJ Hayes,0,P,won,0
0,Ire,0,England,0,JPR Heaslip,0,N8,won,0
0,Ire,0,England,0,MJ Horan,0,P,won,0
0,Ire,0,England,0,RDJ Kearney,0,FB,won,0
0,Eng,0,Ireland,0,NJ Kennedy,0,L,lost,0
0,Ire,0,England,0,DP Leamy,0,(N8),won,0
0,Eng,0,Ireland,0,LA Mears,0,H,lost,0
0,Eng,0,Ireland,0,LJW Narraway,0,(N8),lost,0
0,Ire,0,England,0,DF O'Callaghan,0,L,won,0
0,Ire,0,England,0,PJ O'Connell,0,L,won,0
0,Ire,0,England,0,TG O'Leary,0,SH,won,0
0,Eng,0,Ireland,0,PH Sackey,0,W,lost,0
0,Eng,0,Ireland,0,AJ Sheridan,0,P,lost,0
0,Ire,0,England,0,PA Stringer,0,(SH),won,0
0,Eng,0,Ireland,0,MJM Tait,0,(W),lost,0
0,Eng,0,Ireland,0,MJ Tindall,0,C,lost,0
0,Eng,0,Ireland,0,PJ Vickery,0,P,lost,0
0,Ire,0,England,0,DP Wallace,0,F,won,0
0,Ire,0,England,0,PR Wallace,0,C,won,0
0,Eng,0,Ireland,0,JM White,0,(P),lost,0
0,Eng,0,Ireland,0,JPR Worsley,0,F,lost,0
0,Georg,0,Romania,0,I Abuseridze,0,SH,won,0
0,Georg,0,Romania,0,O Barkalaia,0,(FH),won,0
0,Georg,0,Romania,0,D Basilaia,0,(N8),won,0
0,Rom,0,Georgia,0,DC Beca,0,(H),lost,0
0,Rom,0,Georgia,0,CI Botezatu,0,W,lost,0
0,Rom,0,Georgia,0,SS Burcea,0,F,lost,0
0,Rom,0,Georgia,0,D Carpo,0,(BR),lost,0
0,Georg,0,Romania,0,G Chkhaidze,0,F,won,0
0,Rom,0,Georgia,0,SE Ciuntu,0,(W),lost,0
0,Rom,0,Georgia,0,AM Coste,0,L,lost,0
0,Rom,0,Georgia,0,RC Dascalu,0,(C),lost,0
0,Georg,0,Romania,0,L Datunashvili,0,L,won,0
0,Rom,0,Georgia,0,TI Dimofte,0,C,lost,0
0,Rom,0,Georgia,0,P Ion,0,P,lost,0
0,Georg,0,Romania,0,D Kacharava,0,C,won,0
0,Georg,0,Romania,0,D Khinchagashvili,0,P,won,0
0,Georg,0,Romania,0,D Kubriashvili,0,(P),won,0
0,Georg,0,Romania,0,G Labadze,0,F,won,0
0,Rom,0,Georgia,0,MA Lazar,0,(P),lost,0
0,Rom,0,Georgia,0,M Macovei,0,(L),lost,0
0,Rom,0,Georgia,0,C Mersoiu,0,N8,lost,0
0,Georg,0,Romania,0,I Natriashvili,0,H,won,0
0,Rom,0,Georgia,0,N Nere,0,P,lost,0
0,Rom,0,Georgia,0,CM Nicolae,0,W,lost,0
0,Georg,0,Romania,0,A Peikrishvili,0,(P),won,0
0,Rom,0,Georgia,0,V Poparlan,0,(L),lost,0
0,Rom,0,Georgia,0,CA Ratiu,0,L,lost,0
0,Georg,0,Romania,0,B Samkharadze,0,(SH),won,0
0,Georg,0,Romania,0,G Shvelidze,0,P,won,0
0,Rom,0,Georgia,0,R Stanca,0,FH,lost,0
0,Rom,0,Georgia,0,F Tasca,0,H,lost,0
0,Georg,0,Romania,0,A Todua,0,(C),won,0
0,Rom,0,Georgia,0,MA Tudori,0,F,lost,0
0,Georg,0,Romania,0,K Uchava,0,(L),won,0
0,Georg,0,Romania,0,R Urushadze,0,L,won,0
0,Rom,0,Georgia,0,FA Vlaicu,0,FB,lost,0
0,Georg,0,Romania,0,T Zibzibadze,0,C,won,0
0,Wales,0,Italy,0,H Bennett,0,H,won,0
0,Italy,0,Wales,0,M Bergamasco,0,F,lost,0
0,Italy,0,Wales,0,M Bergamasco,0,C,lost,0
0,Italy,0,Wales,0,M Bortolami,0,L,lost,0
0,Wales,0,Italy,0,LM Byrne,0,FB,won,0
0,Italy,0,Wales,0,GJ Canale,0,C,lost,0
0,Italy,0,Wales,0,PL Canavosio,0,(SH),lost,0
0,Italy,0,Wales,0,ML Castrogiovanni,0,(P),lost,0
0,Wales,0,Italy,0,LC Charteris,0,L,won,0
0,Wales,0,Italy,0,BS Davies,0,(L),won,0
0,Italy,0,Wales,0,CA del Fava,0,(L),lost,0
0,Italy,0,Wales,0,S Dellape,0,L,lost,0
0,Italy,0,Wales,0,LL Ghiraldini,0,H,lost,0
0,Italy,0,Wales,0,PR Griffen,0,SH,lost,0
0,Wales,0,Italy,0,GL Henson,0,C,won,0
0,Wales,0,Italy,0,GD Jenkins,0,(P),won,0
0,Wales,0,Italy,0,AW Jones,0,L,won,0
0,Wales,0,Italy,0,DAR Jones,0,F,won,0
0,Wales,0,Italy,0,MA Jones,0,W,won,0
0,Wales,0,Italy,0,RP Jones,0,(F),won,0
0,Wales,0,Italy,0,SM Jones,0,(FH),won,0
0,Italy,0,Wales,0,LJ McLean,0,FH,lost,0
0,Italy,0,Wales,0,CH Nieto,0,P,lost,0
0,Italy,0,Wales,0,L Orquera,0,(FB),lost,0
0,Italy,0,Wales,0,SM Parisse,0,N8,lost,0
0,Italy,0,Wales,0,S Perugini,0,P,lost,0
0,Wales,0,Italy,0,WM Phillips,0,SH,won,0
0,Wales,0,Italy,0,AT Powell,0,N8,won,0
0,Italy,0,Wales,0,M Pratichetti,0,W,lost,0
0,Italy,0,Wales,0,R Quartaroli,0,(C),lost,0
0,Wales,0,Italy,0,M Rees,0,(H),won,0
0,Wales,0,Italy,0,JH Roberts,0,C,won,0
0,Italy,0,Wales,0,G Rubini,0,W,lost,0
0,Italy,0,Wales,0,JW Sole,0,(L),lost,0
0,Wales,0,Italy,0,JJ Thomas,0,F,won,0
0,Wales,0,Italy,0,RM Thomas,0,P,won,0
0,Wales,0,Italy,0,JV Yapp,0,P,won,0
0,Italy,0,Wales,0,A Zanni,0,F,lost,0
0,Scot,0,Ireland,0,JA Barclay,0,F,lost,0
0,Ire,0,Scotland,0,RD Best,0,H,won,0
0,Scot,0,Ireland,0,MRL Blair,0,SH,lost,0
0,Ire,0,Scotland,0,TJ Bowe,0,W,won,0
0,Scot,0,Ireland,0,CP Cusiter,0,(SH),lost,0
0,Scot,0,Ireland,0,SCJ Danielli,0,W,lost,0
0,Ire,0,Scotland,0,GW D'Arcy,0,C,won,0
0,Scot,0,Ireland,0,NJ de Luca,0,(C),lost,0
0,Scot,0,Ireland,0,AG Dickinson,0,P,lost,0
0,Scot,0,Ireland,0,MB Evans,0,C,lost,0
0,Scot,0,Ireland,0,TH Evans,0,W,lost,0
0,Ire,0,Scotland,0,S Ferris,0,F,won,0
0,Ire,0,Scotland,0,LM Fitzgerald,0,W,won,0
0,Ire,0,Scotland,0,JP Flannery,0,(H),won,0
0,Scot,0,Ireland,0,RW Ford,0,H,lost,0
0,Scot,0,Ireland,0,PJ Godman,0,FH,lost,0
0,Scot,0,Ireland,0,SD Gray,0,(F),lost,0
0,Scot,0,Ireland,0,DWH Hall,0,(H),lost,0
0,Scot,0,Ireland,0,JL Hamilton,0,L,lost,0
0,Ire,0,Scotland,0,JJ Hayes,0,P,won,0
0,Scot,0,Ireland,0,NJ Hines,0,(L),lost,0
0,Ire,0,Scotland,0,MJ Horan,0,P,won,0
0,Ire,0,Scotland,0,RDJ Kearney,0,FB,won,0
0,Ire,0,Scotland,0,DP Leamy,0,N8,won,0
0,Scot,0,Ireland,0,GA Morrison,0,C,lost,0
0,Ire,0,Scotland,0,GEA Murphy,0,(FB),won,0
0,Scot,0,Ireland,0,EA Murray,0,P,lost,0
0,Ire,0,Scotland,0,DF O'Callaghan,0,L,won,0
0,Ire,0,Scotland,0,PJ O'Connell,0,L,won,0
0,Ire,0,Scotland,0,BG O'Driscoll,0,C,won,0
0,Ire,0,Scotland,0,TG O'Leary,0,(SH),won,0
0,Ire,0,Scotland,0,PA Stringer,0,SH,won,0
0,Scot,0,Ireland,0,AK Strokosch,0,F,lost,0
0,Scot,0,Ireland,0,SM Taylor,0,N8,lost,0
0,Ire,0,Scotland,0,DP Wallace,0,F,won,0
0,Scot,0,Ireland,0,JPR White,0,L,lost,0
0,Fra,0,England,0,M Bastareaud,0,C,lost,0
0,Fra,0,England,0,J Bonnaire,0,(L),lost,0
0,Eng,0,France,0,SW Borthwick,0,L,won,0
0,Eng,0,France,0,DS Care,0,(SH),won,0
0,Fra,0,England,0,S Chabal,0,F,lost,0
0,Eng,0,France,0,TR Croft,0,F,won,0
0,Fra,0,England,0,T Domingo,0,(P),lost,0
0,Fra,0,England,0,TS Dusautoir,0,F,lost,0
0,Eng,0,France,0,NJ Easter,0,N8,won,0
0,Eng,0,France,0,HA Ellis,0,SH,won,0
0,Fra,0,England,0,L Faure,0,P,lost,0
0,Fra,0,England,0,F Fritz,0,(C),lost,0
0,Eng,0,France,0,AJ Goode,0,(FH),won,0
0,Fra,0,England,0,I Harinordoquy,0,N8,lost,0
0,Eng,0,France,0,DM Hartley,0,(H),won,0
