conv,country,drop_kicks,opposition,penalties,player,points,position,result,tries
8,Germ,0,Czech Rep,0,R Parkinson,16,FH,won,0
2,JPN,0,Italy,4,A Goromaru,16,FB,won,0
2,Russ,0,Hong Kong,4,Y Kushnarev,16,FH,won,0
2,Ire,0,South Africa,4,JJ Sexton,16,FH,won,0
2,SA,1,England,3,PJ Lambie,16,FH,won,0
2,Aust,0,France,4,BT Foley,16,FH,lost,0
2,Fra,0,Australia,4,C Lopez,16,FH,won,0
2,Ire,0,Australia,4,JJ Sexton,16,FH,won,0
2,Eng,0,Australia,4,GT Ford,16,FH,won,0
2,Wales,0,Scotland,4,SL Halfpenny,16,FB,won,0
2,Georg,0,Spain,4,M Kvirikashvili,16,FB,won,0
3,Kenya,0,Spain,0,D Mukidza Kinyangi,16,W,won,2
2,Tonga,0,Japan,4,KS Morath,16,FH,won,0
5,Namib,0,Kenya,2,TAW Kotze,16,FH,won,0
5,NZ,0,Australia,2,DW Carter,16,FH,won,0
2,SA,1,Argentina,3,PJ Lambie,16,FH,won,0
5,USA,0,Canada,2,AL MacGinty,16,FH,won,0
2,Scot,0,Italy,4,GD Laidlaw,16,SH,won,0
2,NZ,0,Argentina,4,DW Carter,16,FH,won,0
4,NZ,0,Namibia,1,BJ Barrett,16,FH,won,1
2,JPN,0,Samoa,4,A Goromaru,16,FB,won,0
1,Namib,0,Georgia,3,TAW Kotze,16,FH,lost,1
1,Samoa,0,Scotland,3,T Pisi,16,FH,lost,1
2,Russ,1,Hong Kong,3,SV Yanyushkin,16,FH,won,0
5,Russ,0,Portugal,2,Y Kushnarev,16,FH,won,0
2,Eng,0,France,4,OA Farrell,16,C,won,0
3,JPN,0,Korea,0,R Yamanaka,16,FB,won,2
2,Ire,1,South Africa,3,DPLJ Jackson,16,FH,won,0
2,JPN,0,Canada,4,Y Tamura,16,FH,won,0
4,Namib,0,Spain,1,TAW Kotze,5G,FH,won,1
2,Fiji,0,Samoa,4,S Baikeinuku,16,FH,won,0
2,Scot,0,Japan,4,GD Laidlaw,16,SH,won,0
2,Ire,0,South Africa,4,DPLJ Jackson,16,FH,lost,0
